"","hh_id","d1","d_start","d2","index_random","random_number","random_percentage_price","d_amount","d_3","d_3b","d_3b_oth","d_4","d_4b","d_4b_oth","d_5","d_5b","d_5b_oth","d_6","d_6b","d_6b_oth","d_7","d_8","d_8oth","d_9","d_10","elc_aggr_tier","locality"
"2601",10041513501801,"No","2017-12-05T03:25:12-05:00",1,3,0.57,5699,5699,"No","Electricity service is unreliable","","No","Monthly fee is too expensive","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","Yes",NA,"",3000,500,"Tier 0",1
"2602",10041513502202,"No","2017-12-05T05:57:43-05:00",2,5,1,10000,10000,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2603",10041513502204,"No","2017-12-05T04:00:18-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2604",10041513502501,"No","2017-12-05T05:26:40-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2605",10041513502601,"No","2017-12-05T06:36:08-05:00",1,2,0.43,4300,4300,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",8000,500,"Tier 0",1
"2606",10041513502802,"No","2017-12-05T04:15:58-05:00",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,888,"Tier 0",1
"2607",10041513502901,"No","2017-12-05T05:20:23-05:00",1,5,1,10000,10000,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,888,"Tier 0",1
"2608",10041513503103,"No","2017-12-05T04:07:21-05:00",1,3,0.57,5699,5699,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,400,"Tier 0",1
"2609",10041515820201,"No","2017-12-04T07:31:49",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,888,"Tier 0",1
"2610",10041515820303,"No","2017-12-04T09:21:06-05:00",1,1,0.29,2900,2900,"No","Electricity service is unreliable","","No","Monthly fee is too expensive","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2611",10041515820304,"No","2017-12-04T08:19:08-05:00",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,500,"Tier 0",1
"2612",10041515820601,"No","2017-12-04T08:31:44-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",1
"2613",10041515820604,"No","2017-12-04T08:36:20",1,1,0.29,2900,2900,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",2500,500,"Tier 0",1
"2614",10041515821002,"No","2017-12-04T07:24:47-05:00",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2615",10041515821101,"No","2017-12-04T07:22:02",1,5,1,10000,10000,"No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Monthly fee is too expensive","",3000,500,"Tier 0",1
"2616",10041515821202,"No","2017-12-04T08:23:06",2,5,1,10000,10000,"No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","",2000,400,"Tier 0",1
"2617",10041515821204,"No","2017-12-04T08:26:12-05:00",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,888,"Tier 0",1
"2618",10041515821401,"No","2017-12-04T07:23:33-05:00",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,500,"Tier 0",1
"2619",10041515821501,"No","2017-12-04T09:33:15",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",3000,500,"Tier 0",1
"2620",10041515822004,"No","2017-12-04T07:17:32",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",3000,400,"Tier 0",1
"2621",10041515822007,"No","2017-12-04T09:43:27",1,3,0.57,5699,5699,"No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","","No","Electricity service is unreliable","",1500,500,"Tier 0",1
"2622",10041515822008,"No","2017-12-04T09:36:38-05:00",1,5,1,10000,10000,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",888,888,"Tier 0",1
"2623",10041516840201,"No","2017-11-16T06:58:15-05:00",1,0,0.14,1400,1400,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",1000,300,"Tier 0",1
"2624",10041516840202,"No","2017-11-16T07:19:14-05:00",1,4,0.71,7100,7100,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",6000,500,"Tier 0",1
"2625",10041516840204,"No","2017-11-16T07:07:42-05:00",1,0,0.14,1400,1400,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",500,200,"Tier 0",1
"2626",10041516840205,"No","2017-11-16T07:00:31-05:00",2,5,1,10000,10000,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",888,500,"Tier 0",1
"2627",10041516840206,"No","2017-11-16T06:59:16-05:00",2,5,1,10000,10000,"No","Monthly fee is too expensive","","No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2628",10041516840601,"No","2017-11-16T08:29:54-05:00",1,4,0.71,7100,7100,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2000,500,"Tier 0",1
"2629",10041516840602,"No","2017-11-16T08:10:13-05:00",2,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",500,500,"Tier 0",1
"2630",10041516840701,"No","2017-11-16T09:57:25-05:00",1,3,0.57,5699,5699,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",500,200,"Tier 0",1
"2631",10041516840703,"No","2017-11-16T09:13:30-05:00",2,5,1,10000,10000,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",500,300,"Tier 0",1
"2632",10041516840704,"No","2017-11-16T10:06:14-05:00",2,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",4000,500,"Tier 0",1
"2633",10041516840801,"No","2017-11-16T09:43:54-05:00",3,5,1,10000,10000,"No","Do not need grid connection","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",888,888,"Tier 0",1
"2634",10041516840802,"No","2017-11-16T08:38:35-05:00",2,5,1,10000,10000,"No","Still cannot afford the wiring costs","","Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",5000,300,"Tier 0",1
"2635",10041516840805,"No","2017-11-16T07:45:34-05:00",1,2,0.43,4300,4300,"No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","","No","Still cannot afford the wiring costs","",600,100,"Tier 0",1
"2636",10041516841001,"No","2017-11-16T08:17:40-05:00",1,3,0.57,5699,5699,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,2000,"Tier 0",1
"2637",10043501340401,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
"2638",10043501341201,"No","2017-12-01T08:39:48-05:00",1,0,0.14,1400,1400,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3000,500,"Tier 0",0
"2639",10043501342501,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 2",0
"2640",10043501342601,"Yes","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"Tier 3",0
