"","hh_id","g2","g3","g_4","g_5","g_6","g_7","g_8","g_9","interview__key","cs_aggr_tier","elc_aggr_tier","locality"
"25",1000506120901,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"26",1000506121202,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"27",1000506121202,"Flashlights","Yes",1,500,12,10,"Regular source of lighting",4,"75-01-00-19","Tier 1","Tier 0",0
"28",1000506121202,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"29",1000506121202," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"30",1000506121202,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"31",1000506121304,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"32",1000506121304,"Flashlights","Yes",1,300,12,14,"Regular source of lighting",4,"83-06-80-45","Tier 1","Tier 0",0
"33",1000506121304,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"34",1000506121304," Radio","Yes",1,3000,12,5,"Back-up source of lighting",4,"83-06-80-45","Tier 1","Tier 0",0
"35",1000506121304,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"36",1000506121604,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"37",1000506121604,"Flashlights","Yes",2,400,11,9,"Regular source of lighting",24,"15-06-84-19","Tier 1","Tier 0",0
"38",1000506121604,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"39",1000506121604," Radio","Yes",1,1500,2,2,"No light available",4,"15-06-84-19","Tier 1","Tier 0",0
"40",1000506121604,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"41",1000506122001,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"42",1000506122001,"Flashlights","Yes",6,500,12,11,"Regular source of lighting",36,"97-44-93-73","Tier 1","Tier 0",0
"43",1000506122001,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"44",1000506122001," Radio","Yes",1,3000,12,6,"No light available",8,"97-44-93-73","Tier 1","Tier 0",0
"45",1000506122001,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"46",1000506122301,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"47",1000506122301,"Flashlights","Yes",8,500,11,9,"Regular source of lighting",48,"46-13-78-78","Tier 1","Tier 0",0
"48",1000506122301,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"49",1000506122301," Radio","Yes",1,2000,11,4,"No light available",12,"46-13-78-78","Tier 1","Tier 0",0
"50",1000506122301,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"51",1000506122402,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"52",1000506122402,"Flashlights","Yes",2,500,11,8,"Regular source of lighting",24,"93-30-49-21","Tier 1","Tier 0",0
"53",1000506122402,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"54",1000506122402," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"55",1000506122402,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"56",1000506122702,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"57",1000506122702,"Flashlights","Yes",1,350,12,12,"Regular source of lighting",8,"57-08-67-37","Tier 1","Tier 0",0
"58",1000506122702,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"59",1000506122702," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"60",1000506122702,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"61",1000506122801,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"62",1000506122801,"Flashlights","Yes",1,200,12,3,"Back-up source of lighting",6,"85-39-32-85","Tier 1","Tier 0",0
"63",1000506122801,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"64",1000506122801," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"65",1000506122801,"Other, specify","Yes",1,150,12,10,"Regular source of lighting",6,"85-39-32-85","Tier 1","Tier 0",0
"66",1000506122902,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 1",0
"67",1000506122902,"Flashlights","Yes",2,150,12,5,"Regular source of lighting",8,"87-57-54-94","Tier 1","Tier 1",0
"68",1000506122902,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 1",0
"69",1000506122902," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 1",0
"70",1000506122902,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 1",0
"71",1001500180104,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"72",1001500180104,"Flashlights","Yes",1,300,12,10,"Regular source of lighting",4,"52-05-42-61","Tier 1","Tier 0",0
"73",1001500180104,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"74",1001500180104," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"75",1001500180104,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"76",1001500180107,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"77",1001500180107,"Flashlights","Yes",2,200,12,2,"Back-up source of lighting",8,"54-97-85-36","Tier 1","Tier 0",0
"78",1001500180107,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"79",1001500180107," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"80",1001500180107,"Other, specify","Yes",2,120,8,6,"Regular source of lighting",12,"54-97-85-36","Tier 1","Tier 0",0
"81",1001500180201,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"82",1001500180201,"Flashlights","Yes",2,450,12,14,"Regular source of lighting",3,"79-53-13-48","Tier 1","Tier 0",0
"83",1001500180201,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"84",1001500180201," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"85",1001500180201,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"86",1001500180702,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"87",1001500180702,"Flashlights","Yes",1,250,12,10,"Regular source of lighting",4,"09-60-14-59","Tier 1","Tier 0",0
"88",1001500180702,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"89",1001500180702," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"90",1001500180702,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"91",1001500181501,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"92",1001500181501,"Flashlights","Yes",4,500,12,12,"Regular source of lighting",18,"98-90-11-17","Tier 1","Tier 0",0
"93",1001500181501,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"94",1001500181501," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"95",1001500181501,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"96",1001500181503,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"97",1001500181503,"Flashlights","Yes",2,600,12,12,"Regular source of lighting",8,"83-42-19-70","Tier 1","Tier 0",0
"98",1001500181503,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"99",1001500181503," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"100",1001500181503,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"101",1001500181601,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"102",1001500181601,"Flashlights","Yes",3,400,12,12,"Regular source of lighting",240,"32-29-54-86","Tier 1","Tier 0",0
"103",1001500181601,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"104",1001500181601," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"105",1001500181601,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"106",1001500181605,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"107",1001500181605,"Flashlights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"108",1001500181605,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"109",1001500181605," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"110",1001500181605,"Other, specify","Yes",1,100,12,11,"Regular source of lighting",12,"33-55-59-68","Tier 1","Tier 0",0
"111",1001500181606,"Lanterns","Yes",1,500,12,10,"Regular source of lighting",12,"36-36-20-09","Tier 1","Tier 0",0
"112",1001500181606,"Flashlights","Yes",1,150,12,1,"Back-up source of lighting",6,"36-36-20-09","Tier 1","Tier 0",0
"113",1001500181606,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"114",1001500181606," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"115",1001500181606,"Other, specify","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"116",1001500181702,"Lanterns","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"117",1001500181702,"Flashlights","Yes",3,800,12,3,"Back-up source of lighting",12,"90-70-74-06","Tier 1","Tier 0",0
"118",1001500181702,"Task lights","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
"119",1001500181702," Radio","No",NA,NA,NA,NA,NA,NA,"","Tier 1","Tier 0",0
